feature,cluster_id,freq,mean_score,median_score
0-norm,1,466,1.0281493907007,0.971559476380562
MagpieData avg_dev Column,2,57,0.800757873717905,0.745370440476334
MagpieData minimum GSbandgap,3,120,1.4320811298905,1.24223212063907
MagpieData minimum MendeleevNumber,4,45,0.919103081369675,0.878839087914558
minimum local difference in NdValence,5,39,0.774679964131371,0.737855115970012
MagpieData mode SpaceGroupNumber,6,49,0.802926706406684,0.667563711649329
avg_dev local difference in MeltingT,7,181,0.877435431928557,0.799271920495122
minimum local difference in MeltingT,8,121,0.834202147964562,0.788212543080611
mean ordering parameter shell 1,9,502,0.927245619785929,0.883523132229788
MagpieData mode NpUnfilled,10,549,0.770157982520321,0.721653409120423
MagpieData mode Column,10,96,1.78227884312915,1.90422514547041
MagpieData mode NsValence,10,85,1.59449251893363,2.1444915207177
avg_dev local difference in MendeleevNumber,11,238,0.924676363009082,0.845332674768589
avg_dev local difference in Column,11,195,0.903347720800776,0.821752348058962
avg_dev local difference in NdValence,11,176,0.807100656383211,0.759905687961977
avg_dev local difference in Electronegativity,12,1370,1.23196542099526,1.19361047770929
10-norm,13,356,0.981658747771078,0.900459491999081
MagpieData mode NValence,14,45,0.833026181567711,0.862544366556534
MagpieData range NUnfilled,15,101,0.723870912193373,0.695558836346486
MagpieData range NdUnfilled,16,172,0.885876976101753,0.865579472956835
MagpieData range NdValence,17,115,0.836981774467631,0.779796684286613
MagpieData mean NUnfilled,18,29,0.687036213321384,0.685579772311313
MagpieData minimum Column,19,44,0.841707292164335,0.782242173926943
avg_dev local difference in NUnfilled,20,102,0.817335040225909,0.790590570685224
avg_dev local difference in NValence,21,52,0.865404444912586,0.779126607598267
minimum local difference in NValence,22,43,0.770777552623404,0.747234037459674
MagpieData minimum NpUnfilled,23,157,1.04710758312754,0.912296839905794
MagpieData avg_dev Number,24,88,0.809471972176444,0.749221602992163
minimum local difference in NUnfilled,25,71,0.754249509476575,0.728514913245262
avg_dev local difference in AtomicWeight,26,161,0.881101199724984,0.833216352697229
MagpieData maximum AtomicWeight,26,63,0.913651550317233,0.729012340552919
MagpieData maximum NValence,27,29,0.890959506177335,0.833022795119901
range local difference in NfValence,27,27,1.06815835180694,1.03672445089792
MagpieData mean NpUnfilled,28,384,0.767124235029647,0.742195703637915
avg_dev local difference in NpValence,29,732,0.891685025340573,0.887351866819214
MagpieData minimum NUnfilled,30,90,0.830973840338825,0.843957806594119
MagpieData maximum MendeleevNumber,31,30,0.598127820428689,0.495541944250512
MagpieData avg_dev MeltingT,32,147,0.7505897341638,0.716154190722157
MagpieData maximum MeltingT,33,165,0.829879362875874,0.7515542084465
avg_dev local difference in NpUnfilled,34,452,0.810739883108977,0.743987569282524
MagpieData avg_dev NpUnfilled,35,309,0.744467358383947,0.715606973452579
minimum neighbor distance variation,36,381,1.03365176161243,0.908247430007316
mean neighbor distance variation,36,364,0.968962530190542,0.854843331551607
avg_dev neighbor distance variation,37,598,1.00175471580807,0.910172419512012
MagpieData minimum GSvolume_pa,38,396,1.14103017096046,1.0225031266825
MagpieData mode GSvolume_pa,38,388,0.860336633253319,0.817658064039315
MagpieData mean GSvolume_pa,38,342,0.850174718495923,0.793433930426691
MagpieData mean Electronegativity,39,1476,0.978285234651012,0.951002065963829
MagpieData maximum CovalentRadius,40,137,0.971111830473505,0.933607729388577
MagpieData maximum SpaceGroupNumber,41,209,1.07052590590355,0.946520987035932
mean CN_VoronoiNN,42,352,0.856657407662619,0.803263438503124
avg_dev local difference in CovalentRadius,43,604,0.930218766824551,0.884740336904274
MagpieData avg_dev GSvolume_pa,44,282,0.886417799629491,0.855774471942252
avg_dev local difference in GSvolume_pa,45,357,1.00542683568832,0.920332743963365
MagpieData maximum GSvolume_pa,46,197,0.870067396196766,0.806138677934361
minimum local difference in Electronegativity,47,762,1.02366171653531,0.976389912414223
minimum local difference in CovalentRadius,47,405,1.03856371394381,0.933092367248068
minimum local difference in GSvolume_pa,47,327,1.02353326167686,0.900667635043979
avg_dev local difference in SpaceGroupNumber,48,290,0.90909695311289,0.823564843934985
minimum local difference in SpaceGroupNumber,48,219,0.955667728541035,0.87505302230651
minimum local difference in Row,49,221,0.906745148351418,0.854002779038933
avg_dev CN_VoronoiNN,50,416,0.937186139294129,0.881406225645462
maximum CN_VoronoiNN,51,390,0.874841750592425,0.829938940281005
minimum local difference in Column,52,137,0.880069917152272,0.818057108081626
minimum local difference in NpValence,53,285,0.845568385263145,0.792567222187142
minimum local difference in NsUnfilled,54,159,1.3045695247579,1.16538003073038
MagpieData mode GSbandgap,55,1169,1.1054073334296,1.17392343402097
minimum local difference in GSbandgap,56,644,0.975224693394779,0.899672499951329
compound possible,57,650,1.06461681292568,1.0809136651073
MagpieData mean GSmagmom,58,126,1.10552624256322,1.02381553046026
minimum local difference in NfValence,59,25,0.848232389489758,0.800575136713515
