feature,cluster_id,freq,mean_score,median_score
MagpieData range NdValence,1,265,1.6676179489483143,1.6725222956445078
frac d valence electrons,1,88,1.499869723384441,1.526559729201244
0-norm,2,351,2.037382768042707,1.5555187301857107
avg_dev neighbor distance variation,3,206,2.4391281915400262,2.193630997707835
avg_dev CN_VoronoiNN,4,263,1.633531144883713,1.6134971252717634
avg_dev local difference in AtomicWeight,5,341,2.2528713509547678,2.156716445936792
avg_dev local difference in NValence,5,203,2.2951741539951085,2.182698740054577
MagpieData maximum NValence,6,247,1.852899539945661,1.799732211963139
MagpieData minimum Column,7,532,2.542601995635163,2.694202165762905
MagpieData mean Column,7,528,1.7652130676885562,1.8199085536196489
MagpieData minimum MendeleevNumber,7,404,1.9249271455985286,1.947757564017207
MagpieData mean Electronegativity,8,1517,2.3668113731731437,2.3315783785014434
10-norm,9,364,1.73759120315585,1.6099481962831774
MagpieData maximum SpaceGroupNumber,10,203,5.22541724552886,6.117639484469074
MagpieData avg_dev MeltingT,11,83,2.545846349377148,2.604120113776873
minimum local difference in MeltingT,11,38,2.122437811713068,2.0555552701855313
MagpieData maximum MeltingT,12,357,1.9558880000920371,1.926964338801828
avg_dev local difference in MeltingT,13,239,2.1976977728235756,1.9331000724393088
MagpieData mean MeltingT,14,90,1.5018783429582627,1.4603436267149947
MagpieData maximum CovalentRadius,15,357,2.187384925224225,2.057912913118176
MagpieData minimum GSbandgap,15,190,4.456283775883031,5.321007991696068
MagpieData maximum AtomicWeight,16,303,1.6636488086801358,1.7573637628477634
maximum CN_VoronoiNN,17,164,1.9001045866825796,1.955218719160758
mean CN_VoronoiNN,17,129,1.8609251192421266,1.8562308290285836
minimum neighbor distance variation,18,196,2.719636941917082,2.3040835956944274
mean neighbor distance variation,18,191,2.612741623741803,2.4900957340174554
minimum local difference in GSbandgap,19,73,2.407161892086518,2.195846688403374
avg_dev local difference in MendeleevNumber,20,769,2.0446822239695392,1.9797575982927489
avg_dev local difference in Column,20,687,1.9692321504247934,1.967435664761692
avg_dev local difference in NdValence,21,295,1.7397238422037462,1.730141289694594
mean ordering parameter shell 1,22,243,2.106171732081494,2.0039651199923054
avg_dev local difference in NpValence,23,917,2.391770593389094,2.4174554340609204
avg_dev local difference in SpaceGroupNumber,23,846,2.055706727815025,2.071651182419798
avg_dev local difference in Electronegativity,24,1385,2.920397318248509,2.961471417242221
avg_dev local difference in CovalentRadius,24,878,2.3702719814611366,2.278842311561281
minimum local difference in Row,25,108,2.2854033786452783,2.068039041810903
minimum local difference in NdValence,25,56,2.0808007505107344,2.0165730006469174
minimum local difference in NfValence,25,47,2.366716722133853,2.0233682139411
minimum local difference in NValence,25,23,2.7484887515028533,2.6960630472205
MagpieData avg_dev Number,26,128,2.069091198244608,2.0470175009011315
avg_dev local difference in GSvolume_pa,27,566,3.443552451982372,3.364676548692965
MagpieData maximum GSvolume_pa,27,558,2.5738288529611495,2.2265348762548696
MagpieData avg_dev GSvolume_pa,27,438,2.847554495330605,2.9421036754372123
minimum local difference in CovalentRadius,28,421,2.326799801594115,2.129327370216661
minimum local difference in GSvolume_pa,28,145,3.0049861993562494,2.642729627664362
minimum local difference in Electronegativity,29,697,2.5535086250399455,2.641420506788924
minimum local difference in NpValence,29,496,2.1316294800354747,2.045552072248337
minimum local difference in SpaceGroupNumber,29,309,2.140476616435653,1.8348161915585155
minimum local difference in Column,29,229,2.343608842062012,2.2109650068849773
minimum local difference in NsUnfilled,29,187,2.434485714768764,2.4312971158930554
MagpieData avg_dev Column,30,393,1.7615565240950288,1.776391873900053
MagpieData mean GSvolume_pa,31,24,1.8330088784965426,1.8923274966550274
avg_dev local difference in NUnfilled,32,79,2.4933393731630558,1.865314396500904
MagpieData range NUnfilled,32,48,2.7450231899008486,3.670208321322604
range local difference in NfUnfilled,33,84,3.357637508647611,3.656779513270823
range local difference in NfValence,34,370,2.3368498162731863,2.462049359890884
MagpieData mode Column,35,52,1.2821646772145785,1.295852160256379
MagpieData mode GSbandgap,36,78,4.495567304932988,4.994147045296065
avg_dev local difference in NpUnfilled,37,36,1.806476455459428,1.8163119740309344
MagpieData range NdUnfilled,38,85,1.516086784022727,1.6179189371725158
MagpieData mean NpUnfilled,39,31,2.0869498591022846,1.8055174787529635
MagpieData mode SpaceGroupNumber,40,83,1.2135080355720045,1.210926706181677
MagpieData mean GSmagmom,41,46,2.137343726114883,2.18422559469359
MagpieData mode NsUnfilled,42,78,3.0276606891925106,3.02766068919251
MagpieData mode NsValence,43,139,1.6673818574038808,1.651953970846476
MagpieData minimum NpUnfilled,44,107,1.5958414081750656,1.5958414081750656
compound possible,45,393,1.491237471689864,1.491237471689864
