,nn1,nn2,nn3,nn4,nn5,nn6,nn7,nn8,nn9,nn10
JVASP-144438,JVASP-48408,JVASP-137763,JVASP-45243,JVASP-46343,JVASP-133652,JVASP-139897,JVASP-45933,JVASP-45934,JVASP-116826,JVASP-133713
JVASP-155562,JVASP-26361,JVASP-40993,JVASP-60684,JVASP-149536,JVASP-17344,JVASP-90116,JVASP-90117,JVASP-146078,JVASP-8616,JVASP-94989
JVASP-99724,JVASP-38057,JVASP-107625,JVASP-38100,JVASP-102271,JVASP-38116,JVASP-109229,JVASP-100889,JVASP-104537,JVASP-3678,JVASP-107609
JVASP-138844,JVASP-91352,JVASP-37000,JVASP-36877,JVASP-104529,JVASP-107855,JVASP-106453,JVASP-21783,JVASP-110328,JVASP-55520,JVASP-89614
JVASP-151886,JVASP-38325,JVASP-38314,JVASP-103610,JVASP-38319,JVASP-132898,JVASP-12533,JVASP-155181,JVASP-38299,JVASP-39140,JVASP-27065
JVASP-26645,JVASP-10325,JVASP-145463,JVASP-119547,JVASP-48497,JVASP-106880,JVASP-87325,JVASP-11813,JVASP-146737,JVASP-121904,JVASP-120418
JVASP-25638,JVASP-106880,JVASP-119364,JVASP-45237,JVASP-133656,JVASP-43142,JVASP-57334,JVASP-133616,JVASP-141245,JVASP-146737,JVASP-141633
JVASP-137216,JVASP-154753,JVASP-140966,JVASP-111666,JVASP-36735,JVASP-36727,JVASP-85723,JVASP-122123,JVASP-154792,JVASP-132898,JVASP-34359
JVASP-27815,JVASP-120232,JVASP-120211,JVASP-120216,JVASP-120242,JVASP-134946,JVASP-136747,JVASP-121071,JVASP-118503,JVASP-136749,JVASP-120219
JVASP-38573,JVASP-120436,JVASP-78577,JVASP-124240,JVASP-78860,JVASP-114175,JVASP-124272,JVASP-124301,JVASP-135497,JVASP-124266,JVASP-94345
JVASP-8137,JVASP-10566,JVASP-25801,JVASP-3612,JVASP-3960,JVASP-55675,JVASP-52467,JVASP-59085,JVASP-50032,JVASP-109025,JVASP-102100
JVASP-129216,JVASP-129242,JVASP-129208,JVASP-129259,JVASP-18419,JVASP-129231,JVASP-129244,JVASP-128088,JVASP-131327,JVASP-20571,JVASP-20384
JVASP-103197,JVASP-102400,JVASP-100869,JVASP-106449,JVASP-34425,JVASP-109888,JVASP-132836,JVASP-106445,JVASP-38304,JVASP-106451,JVASP-107625
JVASP-13071,JVASP-50969,JVASP-9231,JVASP-112632,JVASP-144741,JVASP-50460,JVASP-9835,JVASP-49944,JVASP-14264,JVASP-113726,JVASP-144814
JVASP-11616,JVASP-87325,JVASP-106880,JVASP-147446,JVASP-11593,JVASP-112380,JVASP-141275,JVASP-113698,JVASP-120103,JVASP-113217,JVASP-11813
JVASP-133728,JVASP-133731,JVASP-133747,JVASP-133751,JVASP-114479,JVASP-133839,JVASP-133750,JVASP-133752,JVASP-133737,JVASP-115496,JVASP-133831
JVASP-134728,JVASP-143628,JVASP-59092,JVASP-3606,JVASP-111683,JVASP-142119,JVASP-145716,JVASP-146896,JVASP-121589,JVASP-12546,JVASP-12752
JVASP-134356,JVASP-114479,JVASP-134839,JVASP-117878,JVASP-133731,JVASP-115513,JVASP-114893,JVASP-133737,JVASP-139434,JVASP-117890,JVASP-115496
JVASP-134340,JVASP-125188,JVASP-135130,JVASP-119595,JVASP-114138,JVASP-135121,JVASP-113537,JVASP-92580,JVASP-115470,JVASP-115477,JVASP-135904
JVASP-116786,JVASP-140966,JVASP-154753,JVASP-111666,JVASP-85723,JVASP-51673,JVASP-145459,JVASP-109104,JVASP-106666,JVASP-139097,JVASP-11475
JVASP-99482,JVASP-38278,JVASP-38326,JVASP-38299,JVASP-38325,JVASP-109481,JVASP-38310,JVASP-39140,JVASP-105668,JVASP-38341,JVASP-38323
JVASP-138686,JVASP-114554,JVASP-114553,JVASP-115599,JVASP-115594,JVASP-138008,JVASP-138016,JVASP-64152,JVASP-63890,JVASP-115596,JVASP-12879
JVASP-33742,JVASP-97956,JVASP-88338,JVASP-29727,JVASP-122266,JVASP-32013,JVASP-95240,JVASP-95258,JVASP-98573,JVASP-32416,JVASP-34732
JVASP-30604,JVASP-5218,JVASP-13808,JVASP-59051,JVASP-12461,JVASP-9099,JVASP-10360,JVASP-27720,JVASP-45602,JVASP-97812,JVASP-10554
JVASP-136611,JVASP-38290,JVASP-3768,JVASP-110854,JVASP-12529,JVASP-138651,JVASP-36972,JVASP-108114,JVASP-22568,JVASP-38310,JVASP-147518
JVASP-43323,JVASP-12113,JVASP-44629,JVASP-141027,JVASP-12055,JVASP-47106,JVASP-119301,JVASP-140625,JVASP-47502,JVASP-30281,JVASP-44389
JVASP-22613,JVASP-98547,JVASP-86620,JVASP-86022,JVASP-12236,JVASP-139754,JVASP-50042,JVASP-120892,JVASP-142263,JVASP-55538,JVASP-7070
JVASP-24314,JVASP-98547,JVASP-86620,JVASP-86022,JVASP-12236,JVASP-139754,JVASP-50042,JVASP-120892,JVASP-142263,JVASP-55538,JVASP-7070
JVASP-152353,JVASP-30347,JVASP-29244,JVASP-58877,JVASP-13393,JVASP-55660,JVASP-30216,JVASP-119487,JVASP-13037,JVASP-87993,JVASP-143640
JVASP-147132,JVASP-144548,JVASP-140223,JVASP-112920,JVASP-142160,JVASP-121450,JVASP-118995,JVASP-146777,JVASP-112919,JVASP-146634,JVASP-146776
JVASP-43857,JVASP-48408,JVASP-137763,JVASP-45243,JVASP-46343,JVASP-133652,JVASP-139897,JVASP-45933,JVASP-45934,JVASP-116826,JVASP-133713
JVASP-121000,JVASP-134992,JVASP-51350,JVASP-146396,JVASP-31201,JVASP-51673,JVASP-139097,JVASP-141356,JVASP-51680,JVASP-54741,JVASP-54735
JVASP-43602,JVASP-44380,JVASP-146737,JVASP-48125,JVASP-146593,JVASP-98001,JVASP-48270,JVASP-96882,JVASP-9244,JVASP-154237,JVASP-153830
JVASP-21990,JVASP-86777,JVASP-86175,JVASP-3540,JVASP-18575,JVASP-18368,JVASP-18842,JVASP-156328,JVASP-34691,JVASP-156329,JVASP-157758
JVASP-127586,JVASP-124286,JVASP-132390,JVASP-145999,JVASP-124543,JVASP-111324,JVASP-124233,JVASP-142263,JVASP-30040,JVASP-124262,JVASP-4252
JVASP-136576,JVASP-36893,JVASP-36913,JVASP-38327,JVASP-155185,JVASP-136382,JVASP-136383,JVASP-96598,JVASP-107502,JVASP-38302,JVASP-36881
JVASP-24992,JVASP-92765,JVASP-38319,JVASP-132898,JVASP-146392,JVASP-96923,JVASP-12545,JVASP-92764,JVASP-122123,JVASP-103610,JVASP-3558
JVASP-101234,JVASP-36442,JVASP-117531,JVASP-5443,JVASP-149536,JVASP-26361,JVASP-145268,JVASP-133326,JVASP-110652,JVASP-26414,JVASP-146078
JVASP-146907,JVASP-133191,JVASP-122405,JVASP-116504,JVASP-118992,JVASP-146770,JVASP-140210,JVASP-112908,JVASP-143546,JVASP-122403,JVASP-145140
JVASP-91809,JVASP-43059,JVASP-56680,JVASP-146254,JVASP-151002,JVASP-152364,JVASP-94817,JVASP-18894,JVASP-146950,JVASP-138620,JVASP-122489
JVASP-21826,JVASP-35632,JVASP-35537,JVASP-37864,JVASP-14559,JVASP-156328,JVASP-22959,JVASP-108695,JVASP-22960,JVASP-85174,JVASP-21059
JVASP-92249,JVASP-36756,JVASP-36784,JVASP-50204,JVASP-36780,JVASP-36776,JVASP-44568,JVASP-36775,JVASP-1642,JVASP-114158,JVASP-36777
JVASP-108830,JVASP-12113,JVASP-44629,JVASP-141027,JVASP-12055,JVASP-119301,JVASP-47106,JVASP-140625,JVASP-47502,JVASP-30281,JVASP-12606
JVASP-130919,JVASP-128553,JVASP-130927,JVASP-78345,JVASP-128590,JVASP-78387,JVASP-128508,JVASP-78420,JVASP-128605,JVASP-78388,JVASP-130899
JVASP-31872,JVASP-94915,JVASP-145999,JVASP-26779,JVASP-92388,JVASP-11525,JVASP-27195,JVASP-22666,JVASP-21190,JVASP-35217,JVASP-136398
JVASP-151129,JVASP-113164,JVASP-96748,JVASP-90614,JVASP-10149,JVASP-59085,JVASP-139798,JVASP-26268,JVASP-117076,JVASP-98471,JVASP-3612
JVASP-79651,JVASP-118777,JVASP-118765,JVASP-855,JVASP-25104,JVASP-154222,JVASP-118780,JVASP-118767,JVASP-118768,JVASP-95268,JVASP-91464
JVASP-51764,JVASP-142003,JVASP-97564,JVASP-52444,JVASP-50870,JVASP-33832,JVASP-52438,JVASP-55712,JVASP-33304,JVASP-52419,JVASP-34471
JVASP-104528,JVASP-38304,JVASP-100869,JVASP-106449,JVASP-34425,JVASP-106445,JVASP-132836,JVASP-35638,JVASP-109888,JVASP-50043,JVASP-102400
JVASP-112700,JVASP-55611,JVASP-96463,JVASP-113040,JVASP-34769,JVASP-85782,JVASP-56871,JVASP-110096,JVASP-25025,JVASP-135828,JVASP-114564
JVASP-118284,JVASP-9250,JVASP-9666,JVASP-118820,JVASP-52490,JVASP-58576,JVASP-9824,JVASP-9271,JVASP-133221,JVASP-116407,JVASP-91354
JVASP-118268,JVASP-3837,JVASP-117808,JVASP-3840,JVASP-153711,JVASP-114968,JVASP-100703,JVASP-136298,JVASP-138597,JVASP-141371,JVASP-29947
JVASP-91518,JVASP-119607,JVASP-101165,JVASP-9722,JVASP-133441,JVASP-12050,JVASP-11053,JVASP-8321,JVASP-29871,JVASP-134563,JVASP-119098
JVASP-103548,JVASP-98001,JVASP-119547,JVASP-48497,JVASP-137307,JVASP-109819,JVASP-12731,JVASP-12726,JVASP-100701,JVASP-44380,JVASP-48321
JVASP-122387,JVASP-98001,JVASP-48270,JVASP-119547,JVASP-48497,JVASP-141633,JVASP-146593,JVASP-44380,JVASP-138620,JVASP-109819,JVASP-48321
JVASP-136627,JVASP-8162,JVASP-2616,JVASP-1795,JVASP-120867,JVASP-7826,JVASP-41948,JVASP-135890,JVASP-1594,JVASP-52465,JVASP-49990
JVASP-152744,JVASP-146840,JVASP-141275,JVASP-122063,JVASP-11593,JVASP-113217,JVASP-108760,JVASP-146066,JVASP-87325,JVASP-147446,JVASP-113698
JVASP-40668,JVASP-46643,JVASP-142574,JVASP-52665,JVASP-42946,JVASP-133696,JVASP-137386,JVASP-44783,JVASP-142886,JVASP-42824,JVASP-43423
JVASP-38158,JVASP-88650,JVASP-4180,JVASP-22590,JVASP-140265,JVASP-12756,JVASP-7994,JVASP-50106,JVASP-25595,JVASP-50296,JVASP-10705
JVASP-89957,JVASP-116800,JVASP-112641,JVASP-8616,JVASP-94989,JVASP-146078,JVASP-8609,JVASP-57036,JVASP-11411,JVASP-35907,JVASP-142824
JVASP-57148,JVASP-106880,JVASP-119364,JVASP-45237,JVASP-133656,JVASP-43142,JVASP-141245,JVASP-141633,JVASP-141815,JVASP-154592,JVASP-146010
JVASP-33801,JVASP-142320,JVASP-144136,JVASP-52418,JVASP-89763,JVASP-96866,JVASP-85779,JVASP-88529,JVASP-144313,JVASP-120735,JVASP-154241
JVASP-35384,JVASP-38323,JVASP-12537,JVASP-38341,JVASP-155188,JVASP-107474,JVASP-98238,JVASP-36895,JVASP-56242,JVASP-8694,JVASP-38325
JVASP-57068,JVASP-18894,JVASP-94817,JVASP-143271,JVASP-34237,JVASP-57241,JVASP-109218,JVASP-5473,JVASP-154639,JVASP-9234,JVASP-141814
JVASP-103157,JVASP-102400,JVASP-100869,JVASP-106449,JVASP-107625,JVASP-34425,JVASP-109888,JVASP-106451,JVASP-86095,JVASP-86695,JVASP-132836
JVASP-31824,JVASP-145999,JVASP-111324,JVASP-45996,JVASP-45997,JVASP-4252,JVASP-124286,JVASP-124543,JVASP-5503,JVASP-88679,JVASP-63865
JVASP-97539,JVASP-96793,JVASP-21054,JVASP-98122,JVASP-33000,JVASP-54701,JVASP-52458,JVASP-30191,JVASP-57779,JVASP-97502,JVASP-23997
JVASP-26039,JVASP-36893,JVASP-36913,JVASP-38327,JVASP-136382,JVASP-136383,JVASP-155185,JVASP-96598,JVASP-107502,JVASP-36881,JVASP-12545
JVASP-37623,JVASP-1291,JVASP-39447,JVASP-1351,JVASP-19966,JVASP-19637,JVASP-19781,JVASP-14566,JVASP-14532,JVASP-19779,JVASP-19778
JVASP-111137,JVASP-49659,JVASP-18894,JVASP-94817,JVASP-45792,JVASP-142624,JVASP-146622,JVASP-43056,JVASP-117425,JVASP-43024,JVASP-44766
