feature,count,mean,median,max
MagpieData mean Electronegativity,1517,2.3668113731731437,2.3315783785014434,3.919946387188318
avg_dev local difference in Electronegativity,1385,2.9203973182485092,2.961471417242221,5.684124255281085
avg_dev local difference in NpValence,917,2.391770593389094,2.4174554340609204,3.8238411459440766
avg_dev local difference in CovalentRadius,878,2.3702719814611366,2.278842311561281,4.235375117774323
avg_dev local difference in SpaceGroupNumber,846,2.055706727815025,2.071651182419798,3.097966640107457
avg_dev local difference in MendeleevNumber,769,2.044682223969539,1.9797575982927489,3.9651824552230086
minimum local difference in Electronegativity,697,2.5535086250399455,2.641420506788924,6.271389491085072
avg_dev local difference in Column,687,1.9692321504247934,1.9674356647616922,3.6225585359907924
avg_dev local difference in GSvolume_pa,566,3.443552451982372,3.364676548692965,6.8460872082554465
MagpieData maximum GSvolume_pa,558,2.573828852961149,2.2265348762548696,4.666689608869783
MagpieData minimum Column,532,2.542601995635163,2.694202165762905,3.503412438418007
MagpieData mean Column,528,1.7652130676885562,1.8199085536196487,2.260076815590859
minimum local difference in NpValence,496,2.1316294800354747,2.045552072248337,3.8799637576105424
MagpieData avg_dev GSvolume_pa,438,2.847554495330605,2.9421036754372123,5.555261407328403
minimum local difference in CovalentRadius,421,2.326799801594115,2.129327370216661,6.724534019335975
MagpieData minimum MendeleevNumber,404,1.9249271455985286,1.9477575640172067,2.3736236893104077
MagpieData avg_dev Column,393,1.761556524095029,1.776391873900053,2.200678270844687
compound possible,393,1.491237471689864,1.491237471689864,1.491237471689864
range local difference in NfValence,370,2.3368498162731863,2.4620493598908837,2.462049359890886
10-norm,364,1.7375912031558498,1.6099481962831774,3.3776835442497495
MagpieData maximum CovalentRadius,357,2.187384925224225,2.0579129131181757,3.6675699358677583
MagpieData maximum MeltingT,357,1.9558880000920371,1.9269643388018276,2.2798170458858977
0-norm,351,2.037382768042707,1.5555187301857107,5.71931537136387
avg_dev local difference in AtomicWeight,341,2.2528713509547678,2.156716445936792,4.001813652949979
minimum local difference in SpaceGroupNumber,309,2.140476616435653,1.8348161915585155,3.458586564974648
MagpieData maximum AtomicWeight,303,1.663648808680136,1.7573637628477634,1.9433803074341442
avg_dev local difference in NdValence,295,1.739723842203746,1.730141289694594,2.9870009767443704
MagpieData range NdValence,265,1.667617948948314,1.6725222956445078,1.6725222956445078
avg_dev CN_VoronoiNN,263,1.633531144883713,1.6134971252717634,4.419571069651063
MagpieData maximum NValence,247,1.852899539945661,1.799732211963139,2.082110807234465
mean ordering parameter shell 1,243,2.106171732081494,2.0039651199923054,3.8358964454193893
avg_dev local difference in MeltingT,239,2.1976977728235756,1.9331000724393086,6.6006409026662425
minimum local difference in Column,229,2.343608842062012,2.2109650068849773,4.653290952462356
avg_dev neighbor distance variation,206,2.4391281915400262,2.193630997707835,5.019088515548184
MagpieData maximum SpaceGroupNumber,203,5.225417245528859,6.117639484469074,8.082859725996604
avg_dev local difference in NValence,203,2.295174153995108,2.182698740054577,5.078825325982197
minimum neighbor distance variation,196,2.719636941917082,2.3040835956944274,8.038312200864151
mean neighbor distance variation,191,2.6127416237418024,2.4900957340174554,6.4573497964509246
MagpieData minimum GSbandgap,190,4.456283775883031,5.321007991696068,5.321007991696068
minimum local difference in NsUnfilled,187,2.4344857147687637,2.4312971158930554,4.459574088320328
maximum CN_VoronoiNN,164,1.9001045866825796,1.9552187191607582,2.616899074483168
minimum local difference in GSvolume_pa,145,3.0049861993562494,2.642729627664362,12.029068537176364
MagpieData mode NsValence,139,1.6673818574038806,1.6519539708464759,3.7964302023257104
mean CN_VoronoiNN,129,1.8609251192421268,1.8562308290285834,2.698474934430687
MagpieData avg_dev Number,128,2.069091198244608,2.0470175009011315,3.1023558748352698
minimum local difference in Row,108,2.2854033786452783,2.068039041810903,4.8249291895274515
MagpieData minimum NpUnfilled,107,1.5958414081750656,1.5958414081750656,1.5958414081750656
MagpieData mean MeltingT,90,1.5018783429582627,1.4603436267149947,2.9712724369864616
frac d valence electrons,88,1.4998697233844411,1.526559729201244,1.526559729201244
