id,feature,abs_z
JVASP-144438,minimum local difference in Electronegativity,3.2093134483872308
JVASP-144438,minimum local difference in SpaceGroupNumber,3.0660863071715867
JVASP-144438,minimum local difference in Column,2.779921753932978
JVASP-144438,minimum local difference in NpValence,2.7134966090486214
JVASP-144438,mean ordering parameter shell 1,1.9332216842246552
JVASP-144438,MagpieData avg_dev Column,1.6784796284512908
JVASP-144438,minimum local difference in CovalentRadius,1.6587359225083922
JVASP-144438,MagpieData mode NsValence,1.6519539708464759
JVASP-144438,10-norm,1.6099481962831774
JVASP-144438,0-norm,1.5555187301857107
JVASP-155562,avg_dev local difference in Electronegativity,3.660183298722874
JVASP-155562,avg_dev local difference in CovalentRadius,2.586473928253312
JVASP-155562,avg_dev local difference in MendeleevNumber,1.9534189414141439
JVASP-155562,10-norm,1.9078677597481164
JVASP-155562,minimum local difference in NpValence,1.7234268408792148
JVASP-155562,avg_dev local difference in SpaceGroupNumber,1.6576332120584456
JVASP-155562,0-norm,1.5555187301857107
JVASP-155562,avg_dev local difference in Column,1.5179131950888318
JVASP-155562,compound possible,1.491237471689864
JVASP-155562,MagpieData mode Column,1.295852160256379
JVASP-99724,avg_dev local difference in GSvolume_pa,4.29942433677406
JVASP-99724,MagpieData maximum GSvolume_pa,3.2342010394252028
JVASP-99724,MagpieData avg_dev GSvolume_pa,3.0574936282676566
JVASP-99724,minimum local difference in Electronegativity,3.0519434836843713
JVASP-99724,avg_dev local difference in Electronegativity,2.541071593312633
JVASP-99724,range local difference in NfValence,2.462049359890884
JVASP-99724,avg_dev local difference in MendeleevNumber,2.41891636151498
JVASP-99724,minimum local difference in CovalentRadius,2.178803596317639
JVASP-99724,avg_dev local difference in Column,2.106233457558862
JVASP-99724,MagpieData maximum NValence,2.082110807234465
JVASP-138844,avg_dev local difference in Electronegativity,3.6226215928021293
JVASP-138844,range local difference in NfValence,2.462049359890884
JVASP-138844,avg_dev local difference in AtomicWeight,2.415288069854866
JVASP-138844,avg_dev local difference in MendeleevNumber,2.1386451310807
JVASP-138844,avg_dev local difference in NpValence,2.1373846350385977
JVASP-138844,MagpieData mean Electronegativity,2.100789864418735
JVASP-138844,avg_dev local difference in SpaceGroupNumber,1.942588612297899
JVASP-138844,avg_dev local difference in NValence,1.937414691343833
JVASP-138844,MagpieData maximum NValence,1.799732211963139
JVASP-138844,avg_dev local difference in Column,1.7415461487344235
JVASP-151886,avg_dev local difference in GSvolume_pa,4.882125428324396
JVASP-151886,MagpieData avg_dev GSvolume_pa,2.757185642540895
JVASP-151886,minimum local difference in Electronegativity,2.7250309705265443
JVASP-151886,avg_dev local difference in CovalentRadius,2.368438558310003
JVASP-151886,MagpieData maximum GSvolume_pa,2.2265348762548696
JVASP-151886,avg_dev local difference in Electronegativity,2.1967617899198233
JVASP-151886,avg_dev local difference in MendeleevNumber,2.1253651060574055
JVASP-151886,minimum local difference in CovalentRadius,1.9822628347877131
JVASP-151886,minimum local difference in NpValence,1.9660820501362148
JVASP-151886,minimum local difference in SpaceGroupNumber,1.7297090087214488
JVASP-26645,avg_dev local difference in Electronegativity,3.571319769516236
JVASP-26645,avg_dev local difference in NpValence,2.1750446615354764
JVASP-26645,avg_dev local difference in CovalentRadius,2.05841924224145
JVASP-26645,avg_dev local difference in MendeleevNumber,1.951852178336481
JVASP-26645,avg_dev local difference in Column,1.9331798571602443
JVASP-26645,MagpieData mean Electronegativity,1.8275769911296478
JVASP-26645,avg_dev local difference in SpaceGroupNumber,1.7513939062273038
JVASP-26645,MagpieData avg_dev Column,1.621037777788018
JVASP-26645,compound possible,1.491237471689864
JVASP-26645,frac d valence electrons,1.364622951965966
JVASP-25638,avg_dev local difference in Electronegativity,4.046769592761951
JVASP-25638,avg_dev local difference in NpValence,2.941276394934258
JVASP-25638,avg_dev local difference in CovalentRadius,2.5142325230987534
JVASP-25638,MagpieData mean Electronegativity,2.5012758153269643
JVASP-25638,avg_dev local difference in SpaceGroupNumber,2.142691905742983
JVASP-25638,avg_dev local difference in Column,1.9972869005340308
JVASP-25638,0-norm,1.5555187301857107
